circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,IIND LANCER,DOMESTIC,1,1107,1010.0,124980.0,1114.93
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,JINSI BAZAR,DOMESTIC,1,1548,1428.0,162916.0,1628.15
HYDERABAD CENTRAL,MEHDIPATNAM,GOLCONDA,GOLCONDA,KAZI GALLI,DOMESTIC,1,939,870.0,85873.0,1066.58
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,GRC HV MASABTANK,DOMESTIC,1,38,38.0,20273.0,482.0
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,HUMAYUN NAGAR,DOMESTIC,1,659,622.0,134225.0,1930.3
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,HUMAYUN NAGAR M RD,DOMESTIC,1,857,829.0,116267.0,1305.68
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,JAME & MASJID,DOMESTIC,1,1244,1189.0,195278.0,2657.22
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,KAILASH NAGAR,DOMESTIC,1,920,900.0,156952.0,2218.69
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,KHAJA NAGAR,DOMESTIC,1,838,818.0,104900.0,958.66
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,M G NAGAR,DOMESTIC,1,908,888.0,117188.0,1141.06
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,MASAB TANK,M.PATNAM/ASIF NAGAR,DOMESTIC,1,1111,1074.0,206990.0,2535.0
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,ARUNA COLONY,DOMESTIC,1,1160,1139.0,230604.0,2451.52
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,CHABRA ENCLAVE,DOMESTIC,1,861,860.0,167425.0,1900.44
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,GRAMMER COLONEY,DOMESTIC,1,706,678.0,124090.0,1365.62
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,GRC CT METERS,DOMESTIC,1,14,14.0,66037.0,450.0
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,GRC HV SURYA NAGAR,DOMESTIC,1,12,12.0,5629.0,127.0
HYDERABAD CENTRAL,MEHDIPATNAM,MEHDIPATNAM,SURYANAGAR,JAMALIKUNTA,DOMESTIC,1,1365,1322.0,199585.0,2242.14
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,RAGHUNATH NAGAR,DOMESTIC,1,912,893.0,131261.0,1443.49
HYDERABAD CENTRAL,AZAMABAD,AMBERPET,AMBERPET,RAHAT NAGAR,DOMESTIC,1,882,868.0,130743.0,1675.0
